,,Employed persons by place of residence,,,,,,Employed persons by place of work,,,,,
Region,Job type,2009,2010,2011,2012,2013,2014,2009,2010,2011,2012,2013,2014
Troms,"01 Crop and animal production, hunting",1553,1464,1374,1298,1282,1211,1532,1453,1356,1287,1275,1196
Troms,02 Forestry and logging,55,55,56,73,60,84,58,56,59,73,61,88
Troms,03 Fishing and aquaculture,2022,1806,1850,1601,1590,1638,1962,1740,1816,1582,1571,1605
Troms,05 Mining of coal and lignite,107,89,101,104,85,85,0,0,0,0,0,0
Troms,06 Extraction of oil and natural gas,312,323,353,406,449,466,239,250,272,300,332,347
Troms,07 Mining of metal ores,19,19,20,21,18,14,0,0,0,0,0,0
Troms,08 Other mining and quarrying,94,101,96,123,143,129,86,97,95,119,133,118
Troms,09 Mining support service activities,266,298,361,519,635,644,3,5,40,151,208,183
Troms,10 Food products,1805,1821,1922,2142,2201,2141,1810,1820,1922,2121,2178,2114
Troms,11 Beverages,156,164,167,152,136,137,175,182,181,155,139,141
Troms,12 Tobacco products,0,0,0,0,0,0,0,0,0,0,0,0
Troms,13 Textiles,120,117,162,154,135,73,119,118,161,156,145,76
Troms,14 Wearing apparel,27,33,34,36,28,36,28,31,34,36,31,39
Troms,15 Leather and leather products,0,0,0,0,1,0,1,0,0,0,1,0
Troms,16 Wood and wood products,175,187,181,171,172,174,172,182,175,165,166,168
Troms,17 Paper and paper products,1,0,0,0,0,0,0,0,0,0,0,0
Troms,18 Printing and reproduction,142,131,128,137,131,121,145,135,129,137,133,122
Troms,19 Refined petroleum products,1,1,1,1,1,0,0,0,0,0,0,0
Troms,"20 Chemicals, chemical products",50,62,61,56,61,68,42,43,48,45,48,54
Troms,21 Pharmaceuticals,0,1,1,3,5,3,0,1,1,5,6,4
Troms,22 Rubber and plastic products,92,86,100,114,96,162,97,105,116,126,110,174
Troms,23 Other non-metal mineral products,172,203,200,185,177,176,157,187,190,180,177,170
Troms,24 Basic metals,115,137,138,130,139,144,117,140,141,134,139,144
Troms,25 Fabricated metal prod.,175,171,178,185,144,162,169,163,155,157,123,143
Troms,26 Electronic and optical products,30,29,26,18,16,18,12,13,14,12,12,11
Troms,27 Electrical equipment,45,44,46,52,55,57,41,42,41,51,53,59
Troms,28 Machinery and equipment,101,95,75,65,61,63,94,86,68,55,51,55
Troms,29 Motor vehicles etc.,18,15,15,17,15,15,18,15,15,16,15,15
Troms,30 Other transport equipment,165,102,143,162,154,159,138,87,141,153,139,147
Troms,31 Furniture,77,73,68,73,70,76,77,72,68,73,70,77
Troms,32 Other manufacturing,84,90,90,94,84,84,82,91,86,90,85,83
Troms,"33 Repair, installation of machinery",437,451,477,475,479,504,423,446,475,473,495,525
Troms,"35 Electricity, gas and steam",417,425,427,405,407,392,403,413,415,383,388,365
Troms,36 Water supply,83,83,87,91,92,86,82,82,86,91,91,87
Troms,37 Sewerage,82,84,84,86,89,101,83,85,84,86,90,101
Troms,"38 Waste activities, materials recovery",304,293,302,317,323,325,291,282,296,310,317,319
Troms,"39 Remediation, other waste managem.",2,1,0,1,1,7,2,1,0,1,1,0
Troms,41 Construction of buildings,1996,2025,1976,1991,2028,2111,2051,2072,2009,2023,2050,2153
Troms,42 Civil engineering,968,964,998,1023,942,958,711,749,772,772,693,715
Troms,43 Specialised construction activities,3052,2965,3111,3147,3278,3501,2947,2855,3011,3021,3148,3389
Troms,45 Wholesale and retail trade and repair of motor vehicles and motorcycles,1499,1567,1578,1578,1616,1631,1507,1554,1586,1571,1583,1615
Troms,"46 Wholesale trade, except of motor vehicles and motorcycles",2346,2266,2258,2208,2221,2182,2045,1997,2021,1982,1997,1976
Troms,"47 Retail trade, except of motor vehicles and motorcycles",6853,6803,6776,6783,6878,6808,6853,6777,6807,6863,6960,6885
Troms,"49 Land transport, pipeline transport",2058,2099,2035,2037,2020,1996,2053,2059,1980,1945,1939,1904
Troms,50 Water transport,1108,1205,1105,1236,1407,1339,1073,1195,1072,1217,1470,1419
Troms,51 Air transport,182,188,198,192,188,183,183,192,188,187,191,176
Troms,52 Support activities for transportation,951,950,981,919,944,942,878,871,853,798,812,778
Troms,53 Postal and courier activities,696,687,700,742,724,741,691,685,708,753,734,742
Troms,55 Accommodation,988,977,1094,1087,1148,1301,973,974,1079,1077,1157,1321
Troms,56 Food and beverage service activities,1734,1755,1785,1855,1972,2038,1680,1751,1764,1831,2004,2018
Troms,58 Publishing activities,498,488,491,495,503,488,486,480,480,474,485,482
Troms,"59 Motion picture, TV, music prod.",79,79,86,92,95,118,80,77,98,113,120,129
Troms,"60 Programming, broadcasting activities",122,109,112,112,111,100,118,109,115,115,111,105
Troms,68 Real estate activities,711,714,715,676,703,744,760,711,708,668,695,746
Troms,61 Telecommunications,459,455,447,462,420,350,428,393,379,436,393,344
Troms,"62 Computer programming, consultancy",487,502,521,543,573,448,494,513,536,534,559,420
Troms,63 Information service activities,43,30,23,34,27,21,43,25,21,31,27,24
Troms,64 Financial service activities,739,727,735,720,701,686,718,743,735,725,684,673
Troms,"65 Insurance, pension funding",183,155,145,136,126,115,150,143,121,117,111,100
Troms,66 Auxiliary financial activities,114,103,89,101,106,121,99,94,107,120,130,142
Troms,69 Legal and accounting activities,750,736,753,745,767,780,769,741,755,750,764,779
Troms,"70 Head offices, management consult.",247,256,267,272,304,335,232,240,253,254,298,340
Troms,"71 Architecture, engineering activities",881,864,896,896,967,1009,812,796,828,841,903,947
Troms,72 Scientific research and development,658,690,693,690,694,697,662,692,693,694,695,708
Troms,73 Advertising and market research,151,144,152,113,119,124,129,119,135,99,100,106
Troms,"74 Other professional, scientific and technical activities",172,160,141,172,166,198,152,140,129,166,162,181
Troms,75 Veterinary activities,73,85,88,85,93,91,76,90,89,87,103,96
Troms,77 Rental and leasing activities,186,181,187,201,198,202,168,160,176,184,191,206
Troms,78 Employment activities,701,598,736,825,739,811,761,686,827,963,858,913
Troms,"79 Travel agency, tour operators",171,152,146,139,162,173,151,137,111,104,125,122
Troms,"80 Security, investigation activities",328,297,285,308,311,307,300,277,272,299,276,277
Troms,"81 Buildings, landscape service activities",1443,1477,1484,1498,1586,1578,1457,1464,1452,1466,1546,1551
Troms,82 Business support activities,158,146,164,165,130,153,123,106,129,135,114,131
Troms,"84 Public adm., defence, soc. security",6454,6610,6756,7038,7044,7375,6343,6509,6651,6919,6921,7313
Troms,85 Education,8605,8631,8787,8704,8647,8815,8667,8700,8903,8746,8947,8902
Troms,86 Human health activities,8472,8640,8807,8794,9106,9227,8610,8874,8980,8936,9301,9426
Troms,87 Residential care activities,4290,4424,4536,4829,4765,4631,4264,4398,4511,4806,4782,4583
Troms,88 Social work without accommodation,7063,6967,7082,6676,6864,6599,7092,6971,7046,6669,6872,6547
Troms,90 Arts and entertainment activities,323,320,335,392,427,456,320,320,341,409,443,460
Troms,"91 Libraries, museums, other culture",236,242,256,269,283,257,225,246,256,265,285,251
Troms,92 Gambling and betting activities,39,37,31,33,33,36,36,33,27,36,39,38
Troms,"93 Sports, amusement, recreation",535,546,540,540,573,549,519,544,534,525,554,545
Troms,94 Membership organisations,621,677,731,718,737,722,578,624,675,672,651,654
Troms,"95 Repair, personal, household goods",58,62,55,47,46,47,60,64,55,48,45,47
Troms,96 Other personal service activities,685,674,615,626,696,711,669,670,620,630,693,705
Troms,97 Households as employers activities,7,8,7,6,6,6,7,8,7,6,6,6
Troms,99 Extraterritorial organisations and bodies,0,0,0,0,0,0,0,0,0,0,0,0
Troms,00 Unspecified,288,401,291,332,309,274,307,459,337,382,355,304
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
