"","sector","year","rgn_id","value"
"1","fishing",2010,"4",25616.4103125721
"2","hospitality",2010,"4",25616.4103125721
"3","transport",2010,"4",25616.4103125721
"4","fishing",2011,"4",25009.034824565
"5","hospitality",2011,"4",25009.034824565
"6","transport",2011,"4",25009.034824565
"7","fishing",2012,"4",27377.0663331857
"8","hospitality",2012,"4",27377.0663331857
"9","transport",2012,"4",27377.0663331857
"10","fishing",2013,"4",26452.5026613459
"11","hospitality",2013,"4",26452.5026613459
"12","transport",2013,"4",26452.5026613459
"13","fishing",2014,"4",26671.5312570537
"14","hospitality",2014,"4",26671.5312570537
"15","transport",2014,"4",26671.5312570537
"16",NA,2008,NA,NA
"17",NA,2009,NA,NA
"18","transport",2009,"5",47552.5877481986
"19","hospitality",2009,"5",37640.2173443487
"20","education",2009,"5",48758.1463108289
"21","tourism",2009,"5",45007.5196715344
"22","transport",2010,"5",48893.1431696479
"23","hospitality",2010,"5",38634.9087716564
"24","education",2010,"5",50625.0528732049
"25","tourism",2010,"5",45962.219055936
"26","transport",2011,"5",50751.7717488037
"27","hospitality",2011,"5",39666.5163405123
"28","education",2011,"5",52220.9019836374
"29","tourism",2011,"5",47546.3966909845
"30","transport",2012,"5",52200.6052879346
"31","hospitality",2012,"5",40511.9201344022
"32","education",2012,"5",54724.2986733564
"33","tourism",2012,"5",49278.4339995515
"34","transport",2013,"5",53842.8571018088
"35","hospitality",2013,"5",41376.776886119
"36","education",2013,"5",55566.8894720637
"37","tourism",2013,"5",50925.2638598388
"38","transport",2014,"5",53805.7049028897
"39","hospitality",2014,"5",40835.8333153196
"40","education",2014,"5",55860.3380256731
"41","tourism",2014,"5",50852.1697888886
"42","transport",2015,"5",52998.3651697518
"43","hospitality",2015,"5",39656.9753233247
"44","education",2015,"5",53977.5497456364
"45","tourism",2015,"5",49816.015298127
"46","fishing",2009,"6",46748.8820397783
"47","transport",2009,"6",47552.5877481986
"48","tourism",2009,"6",45007.5196715344
"49","fishing",2010,"6",47827.3525828436
"50","transport",2010,"6",48893.1431696479
"51","tourism",2010,"6",45962.219055936
"52","fishing",2011,"6",50217.5425725005
"53","transport",2011,"6",50751.7717488037
"54","tourism",2011,"6",47546.3966909845
"55","fishing",2012,"6",51005.1715790506
"56","transport",2012,"6",52200.6052879346
"57","tourism",2012,"6",49278.4339995515
"58","fishing",2013,"6",52649.2962300938
"59","transport",2013,"6",53842.8571018088
"60","tourism",2013,"6",50925.2638598388
"61","fishing",2014,"6",53805.7049028897
"62","transport",2014,"6",53805.7049028897
"63","tourism",2014,"6",50852.1697888886
"64","fishing",2015,"6",52753.5690257807
"65","transport",2015,"6",52998.3651697518
"66","tourism",2015,"6",49816.015298127
"67","fishing",2008,"8",37959.4024411235
"68","hospitality",2008,"8",37959.4024411235
"69","transport",2008,"8",37959.4024411235
"70","fishing",2008,"9",37959.4024411235
"71","hospitality",2008,"9",37959.4024411235
"72","transport",2008,"9",37959.4024411235
"73","fishing",2009,"8",37029.4604106301
"74","hospitality",2009,"8",37029.4604106301
"75","transport",2009,"8",37029.4604106301
"76","fishing",2009,"9",37029.4604106301
"77","hospitality",2009,"9",37029.4604106301
"78","transport",2009,"9",37029.4604106301
"79","fishing",2010,"8",35884.4787809551
"80","hospitality",2010,"8",35884.4787809551
"81","transport",2010,"8",35884.4787809551
"82","fishing",2010,"9",35884.4787809551
"83","hospitality",2010,"9",35884.4787809551
"84","transport",2010,"9",35884.4787809551
"85","fishing",2011,"8",38621.7435309852
"86","hospitality",2011,"8",38621.7435309852
"87","transport",2011,"8",38621.7435309852
"88","fishing",2011,"9",38621.7435309852
"89","hospitality",2011,"9",38621.7435309852
"90","transport",2011,"9",38621.7435309852
"91","fishing",2012,"8",36793.5951800221
"92","hospitality",2012,"8",36793.5951800221
"93","transport",2012,"8",36793.5951800221
"94","fishing",2012,"9",36793.5951800221
"95","hospitality",2012,"9",36793.5951800221
"96","transport",2012,"9",36793.5951800221
"97","fishing",2013,"8",38690.6945593585
"98","hospitality",2013,"8",38690.6945593585
"99","transport",2013,"8",38690.6945593585
"100","fishing",2013,"9",38690.6945593585
"101","hospitality",2013,"9",38690.6945593585
"102","transport",2013,"9",38690.6945593585
"103","fishing",2014,"8",NA
"104","hospitality",2014,"8",NA
"105","transport",2014,"8",NA
"106","fishing",2014,"9",NA
"107","hospitality",2014,"9",NA
"108","transport",2014,"9",NA
"109","hospitality",2014,"1",50309.4
"110","transport",2014,"1",61523.2
"111","hospitality",2013,"1",39755.9
"112","transport",2013,"1",61661.88
"113","hospitality",2012,"1",39199.33
"114","transport",2012,"1",61080.43
"115","hospitality",2011,"1",38216.4
"116","transport",2011,"1",57992.67
"117","hospitality",2010,"1",37258.71
"118","transport",2010,"1",56823.51
"119","hospitality",2009,"1",37630.43
"120","transport",2009,"1",63663.85
"121","hospitality",2008,"1",35161.45
"122","transport",2008,"1",58216.31
"123","hospitality",2007,"1",33766.24
"124","transport",2007,"1",56591.56
"125","hospitality",2006,"1",32372.02
"126","transport",2006,"1",54890.33
"127","hospitality",2005,"1",27821.82
"128","transport",2005,"1",52934.55
"129","hospitality",2004,"1",35649.54
"130","transport",2004,"1",49153.76
"131","fishing",2008,"2",47297.4667649608
"132","transport",2008,"2",47297.4667649608
"133","hospitality",2008,"2",47297.4667649608
"134","fishing",2009,"2",50757.3070902406
"135","transport",2009,"2",50757.3070902406
"136","hospitality",2009,"2",50757.3070902406
"137","fishing",2010,"2",51957.0733050948
"138","transport",2010,"2",51957.0733050948
"139","hospitality",2010,"2",51957.0733050948
"140","fishing",2011,"2",53275.189046894
"141","transport",2011,"2",53275.189046894
"142","hospitality",2011,"2",53275.189046894
"143","fishing",2012,"2",55135.3158065156
"144","transport",2012,"2",55135.3158065156
"145","hospitality",2012,"2",55135.3158065156
"146","fishing",2013,"2",57346.2597861607
"147","transport",2013,"2",57346.2597861607
"148","hospitality",2013,"2",57346.2597861607
"149","fishing",2014,"2",58973.281238467
"150","transport",2014,"2",58973.281238467
"151","hospitality",2014,"2",58973.281238467
"152","transport",2001,"3",37089.7182844525
"153","tourism",2001,"3",37089.7182844525
"154","hospitality",2001,"3",37089.7182844525
"155","transport",2002,"3",37675.7585861601
"156","tourism",2002,"3",37675.7585861601
"157","hospitality",2002,"3",37675.7585861601
"158","transport",2003,"3",38515.7113595241
"159","tourism",2003,"3",38515.7113595241
"160","hospitality",2003,"3",38515.7113595241
"161","transport",2004,"3",39333.6924386136
"162","tourism",2004,"3",39333.6924386136
"163","hospitality",2004,"3",39333.6924386136
"164","transport",2005,"3",41632.3402908925
"165","tourism",2005,"3",41632.3402908925
"166","hospitality",2005,"3",41632.3402908925
"167","transport",2006,"3",43262.213333488
"168","tourism",2006,"3",43262.213333488
"169","hospitality",2006,"3",43262.213333488
"170","transport",2007,"3",45722.8647799856
"171","tourism",2007,"3",45722.8647799856
"172","hospitality",2007,"3",45722.8647799856
"173","transport",2008,"3",44863.3171039947
"174","tourism",2008,"3",44863.3171039947
"175","hospitality",2008,"3",44863.3171039947
"176","transport",2009,"3",45452.8682017812
"177","tourism",2009,"3",45452.8682017812
"178","hospitality",2009,"3",45452.8682017812
"179","transport",2010,"3",44735.0227774467
"180","tourism",2010,"3",44735.0227774467
"181","hospitality",2010,"3",44735.0227774467
"182","transport",2011,"3",45355.3742870416
"183","tourism",2011,"3",45355.3742870416
"184","hospitality",2011,"3",45355.3742870416
"185","transport",2012,"3",47018.1430764892
"186","tourism",2012,"3",47018.1430764892
"187","hospitality",2012,"3",47018.1430764892
"188","transport",2013,"3",50356.1603038111
"189","tourism",2013,"3",50356.1603038111
"190","hospitality",2013,"3",50356.1603038111
"191","transport",2014,"3",52169.6668286182
"192","tourism",2014,"3",52169.6668286182
"193","hospitality",2014,"3",52169.6668286182
"194","transport",2015,"3",52266.3755303564
"195","tourism",2015,"3",52266.3755303564
"196","hospitality",2015,"3",52266.3755303564
"197","",NA,NA,NA
"198","",NA,NA,NA
"199","",NA,NA,NA
"200","",NA,NA,NA
"201","",NA,NA,NA
"202","",NA,NA,NA
"203","",NA,NA,NA
"204","",NA,NA,NA
"205","",NA,NA,NA
"206","",NA,NA,NA
"207","",NA,NA,NA
"208","",NA,NA,NA
"209","",NA,NA,NA
"210","",NA,NA,NA
"211","",NA,NA,NA
"212","",NA,NA,NA
"213","",NA,NA,NA
"214","",NA,NA,NA
"215","",NA,NA,NA
"216","",NA,NA,NA
"217","",NA,NA,NA
"218","",NA,NA,NA
"219","",NA,NA,NA
"220","",NA,NA,NA
"221","",NA,NA,NA
"222","",NA,NA,NA
"223","",NA,NA,NA
"224","",NA,NA,NA
"225","",NA,NA,NA
"226","",NA,NA,NA
"227","",NA,NA,NA
"228","",NA,NA,NA
"229","",NA,NA,NA
"230","",NA,NA,NA
"231","",NA,NA,NA
"232","",NA,NA,NA
"233","",NA,NA,NA
"234","",NA,NA,NA
"235","",NA,NA,NA
"236","",NA,NA,NA
"237","",NA,NA,NA
"238","",NA,NA,NA
